TITLE,field_param_diameter,field_param_height,field_param_width,field_param_depth,field_param_cutout,field_param_lsp_tech,field_param_woofer_size,field_param_tweeter_size,field_param_mounting_system,field_param_transformer_tabs,field_param_low_z_applicable,field_param_100v_applicable,field_param_impedance,field_param_low_z_power,field_param_spl,field_param_maxspl,field_param_freq_response,field_param_material,field_param_grille_material,field_param_ip_klass,field_param_lsp_type,field_param_lsp_form,field_param_lsp_active,field_param_h_dispersion,field_param_v_dispersion,field_param_19_rack,field_param_height_u,field_param_power_vac,field_param_power_vdc,field_param_100v_output,field_param_low_z_output,field_param_consumption_power,field_param_output_power_100v,field_param_output_power_4,field_param_output_power_8,field_param_output_power_bridge,field_param_min_impedance,field_param_channel_qty,field_param_zone_qty,field_param_mic_bal_input,field_param_mic_unbal_input,field_param_mic_phantom_input,field_param_line_phantom_input,field_param_line_bal_input,field_param_line_unbal_input,field_param_tone_control,field_param_suhoi_contact,field_param_vox_mute,field_param_din_don_,field_param_prior_output,field_param_fan_or_not,field_param_rs232,field_param_remote_control,field_param_volume_control,field_param_matrix,field_param_ethernet_control,field_param_bal_output,field_param_unbal_output,field_param_digital_output,field_param_ir_control,field_param_tuner,field_param_internet_radio,field_param_usb,field_param_sd_card,field_param_cd
MA125,,,,261,,,,,,,,,,,,,40 - 22k,,,,,,,,,Да,2,115 - 230,24,Есть,Есть,350,125,,125,,8,1,1,4,,4,,,4,Есть,Есть,Есть,Есть,Есть,Конвекционное,,,На передней панели,,,,,,,,,,,
MA200,,,,386,,,,,,,,,,,,,40 - 25k,,,,,,,,,Да,2,115 - 230,24,Есть,Есть,760,200,,200,,8,1,4,4,,4,,,4,Есть,Есть,Есть,Есть,Есть,Вентилятор,,,На передней панели,,,,,,,,,,,
MA200CDR,,,,386,,,,,,,,,,,,,40 - 25k,,,,,,,,,Да,2,115 - 230,24,Есть,Есть,760,200,,200,,8,1,4,4,,4,,,4,Есть,Есть,Есть,Есть,Есть,Вентилятор,,,На передней панели,,,,,,,Есть,,Есть,,Есть
MA240,,,,300,,,,,,,,,,,,,60 - 20k,,,,,,,,,Да,2,100 - 240,,Есть,Нет,320,240,,,,4,1,1,3,2,2,1,2,5,Есть,Есть,Есть,Есть,Есть,Конвекционное,,,На передней панели,,,,,,,,,,,
MA247,,,,390,,,,,,,,,,,,,40 - 25k,,,,,,,,,Да,2,230,24,Есть,Есть,800,240,,240,,4,5,6,4,,3,,3,4,Есть,Есть,Есть,Есть,Есть,Вентилятор,,,На передней панели,,,,,,,,,,,
MA247MR,,,,390,,,,,,,,,,,,,40 - 25k,,,,,,,,,Да,2,230,24,Есть,Есть,800,240,,240,,4,5,6,4,,3,,3,2,Есть,Есть,Есть,Есть,Есть,Вентилятор,,,На передней панели,,,,,,,Есть,,Есть,,Есть
CHAMP-2,,,,356,,,,,,,,,,,,,10 - 50k,,,,,,,,,Да,1,230,,Нет,Есть,500,,2 x 180,2 x 120,350,2,2,,,,,,2,2,,,,,,Конвекционное,,,На передней панели,,,,,,,,,,,
CHAMP-3D,,,,378,,,,,,,,,,,,,10 - 24k,,,,,,,,,Да,2,230,,Нет,Есть,1500,,"2 x 350 +
1 x 1100
@ 2 Ω","2 x 225
+ 1 x 1100
@ 2 Ω",,2.7,3,,,,,,2,,Есть,,,,,Конвекционное,Есть,,На передней панели,,,,,,,,,,,
CHAMP-4,,,,359,,,,,,,,,,,,,20 - 40k,,,,,,,,,Да,1,230,,Нет,Есть,400,,4 x 80,4 x 60,2 x 130,4,4,,,,,,,4,,,,,,Конвекционное,,,На передней панели,,,,,,,,,,,
PA240P,,,,364,,,,,,,,,,,,,35 - 22k,,,,,,,,,Да,2,230,24,Есть,Есть,525,240,240,120,,4,1,,,,,,1,,Есть,Есть,,,Есть,Вентилятор,,,На передней панели,,,,,,,,,,,
